0
F1	F2	F3	F4	time
0.020	0.020	0.080	0.000	2.303
0.020	0.020	0.090	0.000	2.312
0.020	0.020	0.105	0.000	2.322
0.020	0.020	0.098	0.000	2.331
0.020	0.020	0.101	0.000	2.342
0.021	0.021	0.120	0.000	2.352
0.021	0.021	0.180	0.000	2.363
0.021	0.021	0.202	0.000	2.371
0.022	0.022	0.160	0.000	2.384
0.022	0.022	0.141	0.000	2.391
0.022	0.022	0.145	0.000	2.404
0.022	0.022	0.164	0.000	2.413
0.022	0.022	0.168	0.000	2.421
0.022	0.022	0.162	0.000	2.434
0.022	0.022	0.175	0.000	2.443
0.022	0.022	0.199	0.000	2.453
0.023	0.023	0.215	0.000	2.461
0.023	0.023	0.208	0.000	2.474
0.024	0.024	0.188	0.000	2.484
0.024	0.024	0.191	0.000	2.495
0.024	0.024	0.202	0.000	2.503
0.025	0.025	0.208	0.000	2.511
0.025	0.025	0.228	0.000	2.524
0.026	0.026	0.241	0.000	2.531
0.026	0.026	0.250	0.000	2.543
0.027	0.027	0.263	0.000	2.551
0.028	0.028	0.279	0.000	2.564
0.028	0.028	0.290	0.000	2.574
0.029	0.029	0.281	0.000	2.584
0.028	0.028	0.275	0.000	2.593
0.028	0.028	0.287	0.000	2.605
0.029	0.029	0.303	0.000	2.613
0.029	0.029	0.313	0.000	2.621
0.029	0.029	0.320	0.000	2.634
0.029	0.029	0.324	0.000	2.641
0.030	0.030	0.335	0.000	2.655
0.030	0.030	0.349	0.000	2.662
0.031	0.031	0.343	0.000	2.675
0.032	0.032	0.339	0.000	2.682
0.032	0.032	0.352	0.000	2.697
0.033	0.033	0.369	0.000	2.704
0.033	0.033	0.371	0.000	2.711
0.033	0.033	0.365	0.000	2.724
0.034	0.034	0.353	0.000	2.731
0.034	0.034	0.353	0.000	2.746
0.035	0.035	0.361	0.000	2.753
0.035	0.035	0.342	0.000	2.765
0.035	0.035	0.322	0.000	2.773
0.035	0.035	0.325	0.000	2.785
0.035	0.035	0.319	0.000	2.795
0.035	0.035	0.324	0.000	2.806
0.035	0.035	0.326	0.000	2.814
0.036	0.036	0.320	0.000	2.827
0.036	0.036	0.332	0.000	2.835
0.036	0.036	0.340	0.000	2.843
0.037	0.037	0.345	0.000	2.855
0.037	0.037	0.348	0.000	2.864
0.037	0.037	0.334	0.000	2.875
0.037	0.037	0.325	0.000	2.883
0.037	0.037	0.335	0.000	2.895
0.037	0.037	0.358	0.000	2.903
0.037	0.037	0.364	0.000	2.916
0.037	0.037	0.360	0.000	2.925
0.037	0.037	0.366	0.000	2.934
0.038	0.038	0.378	0.000	2.945
0.038	0.038	0.377	0.000	2.953
0.038	0.038	0.360	0.000	2.965
0.038	0.038	0.374	0.000	2.975
0.038	0.038	0.399	0.000	2.988
0.039	0.039	0.407	0.000	2.996
0.039	0.039	0.387	0.000	3.007
0.039	0.039	0.375	0.000	3.016
0.039	0.039	0.383	0.000	3.027
0.039	0.039	0.397	0.000	3.035
0.039	0.039	0.413	0.000	3.045
0.039	0.039	0.424	0.000	3.056
0.039	0.039	0.423	0.000	3.064
0.039	0.039	0.430	0.000	3.076
0.039	0.039	0.435	0.000	3.084
0.040	0.040	0.429	0.000	3.096
0.040	0.040	0.418	0.000	3.104
0.040	0.040	0.371	0.000	3.118
0.039	0.039	0.340	0.000	3.125
0.039	0.039	0.313	0.000	3.138
0.039	0.039	0.295	0.000	3.145
0.039	0.039	0.308	0.000	3.155
0.038	0.038	0.308	0.000	3.166
0.038	0.038	0.317	0.000	3.174
0.038	0.038	0.338	0.000	3.187
0.038	0.038	0.327	0.000	3.195
0.038	0.038	0.305	0.000	3.207
0.038	0.038	0.314	0.000	3.216
0.038	0.038	0.328	0.000	3.229
0.038	0.038	0.329	0.000	3.235
0.038	0.038	0.322	0.000	3.249
0.037	0.037	0.333	0.000	3.256
0.037	0.037	0.357	0.000	3.266
0.037	0.037	0.372	0.000	3.277
0.037	0.037	0.381	0.000	3.285
0.037	0.037	0.379	0.000	3.299
0.037	0.037	0.386	0.000	3.306
0.037	0.037	0.407	0.000	3.319
0.037	0.037	0.412	0.000	3.326
0.038	0.038	0.407	0.000	3.338
0.038	0.038	0.396	0.000	3.346
0.038	0.038	0.396	0.000	3.358
0.038	0.038	0.413	0.000	3.367
0.038	0.038	0.432	0.000	3.377
0.038	0.038	0.428	0.000	3.387
0.038	0.038	0.417	0.000	3.395
0.038	0.038	0.418	0.000	3.407
0.039	0.039	0.419	0.000	3.416
0.040	0.040	0.428	0.000	3.430
0.041	0.041	0.417	0.000	3.436
0.042	0.042	0.394	0.000	3.449
0.043	0.043	0.387	0.000	3.456
0.043	0.043	0.391	0.000	3.467
0.043	0.043	0.394	0.000	3.477
0.043	0.043	0.371	0.000	3.485
0.043	0.043	0.349	0.000	3.499
0.043	0.043	0.342	0.000	3.506
0.043	0.043	0.346	0.000	3.520
0.043	0.043	0.365	0.000	3.526
0.043	0.043	0.369	0.000	3.539
0.043	0.043	0.355	0.000	3.547
0.043	0.043	0.347	0.000	3.559
0.043	0.043	0.349	0.000	3.567
0.043	0.043	0.351	0.000	3.575
0.043	0.043	0.336	0.000	3.589
0.043	0.043	0.326	0.000	3.598
0.042	0.042	0.320	0.000	3.609
0.041	0.041	0.316	0.000	3.617
0.040	0.040	0.305	0.000	3.630
0.039	0.039	0.298	0.000	3.638
0.039	0.039	0.310	0.000	3.650
0.038	0.038	0.326	0.000	3.657
0.038	0.038	0.336	0.000	3.666
0.038	0.038	0.326	0.000	3.679
0.038	0.038	0.328	0.000	3.686
0.038	0.038	0.345	0.000	3.699
0.038	0.038	0.356	0.000	3.707
0.039	0.039	0.379	0.000	3.719
0.043	0.043	0.386	0.000	3.727
0.046	0.046	0.374	0.000	3.739
0.050	0.050	0.367	0.000	3.748
0.050	0.050	0.370	0.000	3.760
0.052	0.052	0.380	0.000	3.770
0.053	0.053	0.371	0.000	3.780
0.054	0.054	0.348	0.000	3.790
0.055	0.055	0.342	0.000	3.797
0.056	0.056	0.354	0.000	3.809
0.058	0.058	0.362	0.000	3.818
0.061	0.061	0.351	0.000	3.830
0.065	0.065	0.352	0.000	3.838
0.065	0.065	0.360	0.000	3.852
0.070	0.070	0.358	0.000	3.859
0.077	0.077	0.364	0.000	3.871
0.085	0.085	0.360	0.000	3.880
0.092	0.092	0.366	0.000	3.887
0.098	0.098	0.378	0.000	3.900
0.103	0.103	0.393	0.000	3.907
0.106	0.106	0.387	0.000	3.920
0.106	0.106	0.367	0.000	3.928
0.110	0.110	0.362	0.000	3.941
0.116	0.116	0.335	0.000	3.948
0.121	0.121	0.309	0.000	3.960
0.127	0.127	0.301	0.000	3.968
0.134	0.134	0.296	0.000	3.981
0.142	0.142	0.301	0.000	3.989
0.149	0.149	0.320	0.000	3.998
0.156	0.156	0.340	0.000	4.010
0.156	0.156	0.345	0.000	4.020
0.163	0.163	0.340	0.000	4.030
0.168	0.168	0.345	0.000	4.040
0.172	0.172	0.332	0.000	4.051
0.177	0.177	0.332	0.000	4.058
0.183	0.183	0.299	0.000	4.071
0.189	0.189	0.262	0.000	4.079
0.195	0.195	0.271	0.000	4.092
0.201	0.201	0.277	0.000	4.100
0.201	0.201	0.280	0.000	4.108
0.205	0.205	0.274	0.000	4.120
0.209	0.209	0.303	0.000	4.129
0.213	0.213	0.329	0.000	4.141
0.217	0.217	0.354	0.000	4.149
0.222	0.222	0.354	0.000	4.160
0.227	0.227	0.346	0.000	4.169
0.234	0.234	0.357	0.000	4.181
0.234	0.234	0.363	0.000	4.191
0.240	0.240	0.376	0.000	4.201
0.247	0.247	0.384	0.000	4.211
0.252	0.252	0.389	0.000	4.219
0.257	0.257	0.400	0.000	4.233
0.262	0.262	0.416	0.000	4.240
0.267	0.267	0.450	0.000	4.251
0.274	0.274	0.471	0.000	4.260
0.281	0.281	0.461	0.000	4.273
0.281	0.281	0.462	0.000	4.280
0.290	0.290	0.488	0.000	4.292
0.301	0.301	0.487	0.000	4.301
0.311	0.311	0.463	0.000	4.309
0.322	0.322	0.456	0.000	4.323
0.333	0.333	0.467	0.000	4.330
0.343	0.343	0.483	0.000	4.341
0.354	0.354	0.468	0.000	4.350
0.364	0.364	0.459	0.000	4.361
0.364	0.364	0.477	0.000	4.370
0.373	0.373	0.497	0.000	4.382
0.381	0.381	0.510	0.000	4.391
0.390	0.390	0.510	0.000	4.402
0.400	0.400	0.518	0.000	4.410
0.409	0.409	0.523	0.000	4.419
0.418	0.418	0.534	0.000	4.431
0.425	0.425	0.533	0.000	4.442
0.425	0.425	0.517	0.000	4.452
0.429	0.429	0.522	0.000	4.460
0.432	0.432	0.526	0.000	4.474
0.436	0.436	0.536	0.000	4.481
0.439	0.439	0.535	0.000	4.494
0.445	0.445	0.534	0.000	4.501
0.452	0.452	0.549	0.000	4.515
0.459	0.459	0.559	0.000	4.521
0.467	0.467	0.557	0.000	4.529
0.467	0.467	0.548	0.000	4.542
0.476	0.476	0.542	0.000	4.551
0.484	0.484	0.555	0.000	4.562
0.493	0.493	0.579	0.000	4.572
0.503	0.503	0.586	0.000	4.583
0.514	0.514	0.599	0.000	4.591
0.526	0.526	0.623	0.000	4.605
0.539	0.539	0.638	0.000	4.611
0.554	0.554	0.656	0.000	4.623
0.554	0.554	0.668	0.000	4.632
0.571	0.571	0.683	0.000	4.641
0.589	0.589	0.709	0.000	4.652
0.607	0.607	0.734	0.000	4.660
0.626	0.626	0.742	0.000	4.673
0.644	0.644	0.738	0.000	4.681
0.662	0.662	0.744	0.000	4.694
0.679	0.679	0.756	0.000	4.702
0.679	0.679	0.796	0.000	4.715
0.697	0.697	0.830	0.000	4.722
0.715	0.715	0.843	0.000	4.735
0.735	0.735	0.868	0.000	4.743
0.756	0.756	0.900	0.000	4.751
0.778	0.778	0.928	0.000	4.764
0.800	0.800	0.946	0.000	4.771
0.821	0.821	0.974	0.000	4.785
0.842	0.842	1.016	0.000	4.793
0.842	0.842	1.059	0.000	4.804
0.863	0.863	1.086	0.000	4.812
0.885	0.885	1.096	0.000	4.824
0.909	0.909	1.118	0.000	4.832
0.934	0.934	1.156	0.000	4.841
0.960	0.960	1.189	0.000	4.855
0.987	0.987	1.209	0.000	4.863
1.015	1.015	1.247	0.000	4.874
1.045	1.045	1.295	0.000	4.882
1.045	1.045	1.342	0.000	4.894
1.077	1.077	1.372	0.000	4.902
1.111	1.111	1.399	0.000	4.914
1.147	1.147	1.432	0.000	4.923
1.183	1.183	1.478	0.000	4.935
1.220	1.220	1.531	0.000	4.943
1.260	1.260	1.557	0.000	4.951
1.301	1.301	1.590	0.000	4.964
1.301	1.301	1.643	0.000	4.973
1.343	1.343	1.701	0.000	4.985
1.386	1.386	1.722	0.000	4.994
1.429	1.429	1.711	0.000	5.006
1.471	1.471	1.721	0.000	5.013
1.513	1.513	1.751	0.000	5.027
1.555	1.555	1.794	0.000	5.035
1.595	1.595	1.830	0.000	5.046
1.635	1.635	1.853	0.000	5.054
1.635	1.635	1.884	0.000	5.062
1.674	1.674	1.911	0.000	5.075
1.712	1.712	1.921	0.000	5.083
1.749	1.749	1.919	0.000	5.095
1.785	1.785	1.926	0.000	5.105
1.818	1.818	1.938	0.000	5.116
1.848	1.848	1.962	0.000	5.124
1.876	1.876	1.986	0.000	5.136
1.901	1.901	2.001	0.000	5.145
1.901	1.901	2.018	0.000	5.153
1.926	1.926	2.030	0.000	5.165
1.950	1.950	2.037	0.000	5.173
1.975	1.975	2.025	0.000	5.185
1.996	1.996	2.010	0.000	5.193
2.016	2.016	2.024	0.000	5.206
2.034	2.034	2.049	0.000	5.214
2.051	2.051	2.066	0.000	5.227
2.051	2.051	2.068	0.000	5.236
2.068	2.068	2.069	0.000	5.247
2.083	2.083	2.070	0.000	5.255
2.097	2.097	2.071	0.000	5.265
2.109	2.109	2.055	0.000	5.276
2.118	2.118	2.045	0.000	5.285
2.127	2.127	2.047	0.000	5.298
2.136	2.136	2.048	0.000	5.305
2.145	2.145	2.073	0.000	5.316
2.145	2.145	2.072	0.000	5.325
2.153	2.153	2.056	0.000	5.339
2.158	2.158	2.070	0.000	5.345
2.160	2.160	2.087	0.000	5.359
2.162	2.162	2.081	0.000	5.365
2.163	2.163	2.062	0.000	5.373
2.164	2.164	2.057	0.000	5.387
2.166	2.166	2.055	0.000	5.394
2.167	2.167	2.045	0.000	5.406
2.167	2.167	2.046	0.000	5.414
2.167	2.167	2.056	0.000	5.426
2.166	2.166	2.061	0.000	5.435
2.164	2.164	2.065	0.000	5.447
2.161	2.161	2.076	0.000	5.458
2.160	2.160	2.066	0.000	5.469
2.158	2.158	2.060	0.000	5.478
2.156	2.156	2.072	0.000	5.484
2.156	2.156	2.088	0.000	5.496
2.154	2.154	2.090	0.000	5.505
2.153	2.153	2.084	0.000	5.517
2.153	2.153	2.079	0.000	5.525
2.154	2.154	2.069	0.000	5.538
2.156	2.156	2.070	0.000	5.546
2.157	2.157	2.071	0.000	5.559
2.158	2.158	2.087	0.000	5.566
2.159	2.159	2.106	0.000	5.580
2.159	2.159	2.110	0.000	5.587
2.160	2.160	2.120	0.000	5.595
2.161	2.161	2.119	0.000	5.609
2.164	2.164	2.102	0.000	5.616
2.169	2.169	2.091	0.000	5.627
2.173	2.173	2.108	0.000	5.637
2.177	2.177	2.135	0.000	5.647
2.179	2.179	2.129	0.000	5.656
2.182	2.182	2.124	0.000	5.669
2.182	2.182	2.138	0.000	5.677
2.185	2.185	2.130	0.000	5.684
2.189	2.189	2.109	0.000	5.696
2.191	2.191	2.104	0.000	5.705
2.191	2.191	2.116	0.000	5.717
2.191	2.191	2.116	0.000	5.726
2.191	2.191	2.124	0.000	5.739
2.193	2.193	2.114	0.000	5.747
2.193	2.193	2.082	0.000	5.758
2.194	2.194	2.079	0.000	5.766
2.195	2.195	2.092	0.000	5.778
2.195	2.195	2.109	0.000	5.787
2.195	2.195	2.112	0.000	5.795
2.195	2.195	2.105	0.000	5.808
2.195	2.195	2.093	0.000	5.817
2.195	2.195	2.086	0.000	5.828
2.194	2.194	2.105	0.000	5.836
2.194	2.194	2.117	0.000	5.848
2.195	2.195	2.109	0.000	5.857
